timestamp,frame_num,action,reasoning,detected_objects
1775716524.4721777,12,STOP,Critical: Dynamic 'person' close (1.34m),person(dynamic_obstacles | d:1.34m | r:2.09)
1775716525.288623,13,TURN_LEFT,"Center risky (1.3), moving to safest: Left (0.1)",person(dynamic_obstacles | d:5.67m | r:0.52)
1775716526.035547,14,TURN_LEFT,"Center risky (1.6), moving to safest: Left (0.1)",person(dynamic_obstacles | d:3.88m | r:0.75)
1775716526.9752269,15,STOP,Critical: Dynamic 'person' close (1.21m),person(dynamic_obstacles | d:1.21m | r:2.29)
1775716527.7103493,16,STOP,Critical: Dynamic 'person' close (1.22m),person(dynamic_obstacles | d:1.22m | r:2.27)
1775716528.4449127,17,STOP,Critical: Dynamic 'person' close (1.23m),person(dynamic_obstacles | d:1.23m | r:2.26)
1775716529.0714443,18,TURN_RIGHT,"Center risky (1.3), moving to safest: Right (0.1)",person(dynamic_obstacles | d:6.84m | r:0.43); tv(unknown | d:3.36m | r:0.14)
1775716529.5393534,19,TURN_LEFT,"Center risky (1.5), moving to safest: Left (0.1)",person(dynamic_obstacles | d:4.65m | r:0.63)
1775716530.0084045,20,TURN_RIGHT,"Center risky (2.0), moving to safest: Right (0.1)",person(dynamic_obstacles | d:2.51m | r:1.15)
1775716530.4666617,21,STOP,Critical: Dynamic 'person' close (1.25m),person(dynamic_obstacles | d:1.25m | r:2.22)
1775716530.953042,22,STOP,Critical: Dynamic 'person' close (1.25m),person(dynamic_obstacles | d:1.25m | r:2.22)
1775716531.4765897,23,STOP,Critical: Dynamic 'person' close (1.26m),person(dynamic_obstacles | d:1.26m | r:2.21)
1775716532.1350727,24,STOP,Critical: Dynamic 'person' close (1.29m),person(dynamic_obstacles | d:1.29m | r:2.15)
1775716532.8691123,25,STOP,Critical: Dynamic 'person' close (1.26m),person(dynamic_obstacles | d:1.26m | r:2.21)
1775716533.4449794,26,TURN_LEFT,"Center risky (1.7), moving to safest: Left (0.1)",person(dynamic_obstacles | d:3.45m | r:0.85)
1775716533.9816873,27,STOP,Critical: Dynamic 'person' close (1.95m),person(dynamic_obstacles | d:1.95m | r:1.46)
1775716534.6369975,28,STOP,Critical: Dynamic 'person' close (1.89m),person(dynamic_obstacles | d:1.89m | r:1.51)
1775716535.0832524,29,TURN_LEFT,"Center risky (2.1), moving to safest: Left (0.1)",person(dynamic_obstacles | d:2.28m | r:1.26)
1775716535.5338829,30,STOP,Critical: Dynamic 'person' close (1.22m),person(dynamic_obstacles | d:1.22m | r:2.27)
1775716536.0493047,31,STOP,Critical: Dynamic 'person' close (1.13m),person(dynamic_obstacles | d:1.13m | r:2.44)
1775716536.5100915,32,STOP,Critical: Dynamic 'person' close (1.13m),person(dynamic_obstacles | d:1.13m | r:2.44)
1775716536.980574,33,STOP,Critical: Dynamic 'person' close (1.13m),person(dynamic_obstacles | d:1.13m | r:2.43)
1775716537.4774861,34,STOP,Critical: Dynamic 'person' close (1.13m),person(dynamic_obstacles | d:1.13m | r:2.43)
1775716537.9359455,35,STOP,Critical: Dynamic 'person' close (1.14m),person(dynamic_obstacles | d:1.14m | r:2.42)
1775716538.490615,36,STOP,Critical: Dynamic 'person' close (1.18m),person(dynamic_obstacles | d:1.18m | r:2.34)
1775716538.9279087,37,STOP,Critical: Dynamic 'person' close (1.17m),person(dynamic_obstacles | d:1.17m | r:2.36)
1775716539.3977377,38,STOP,Critical: Dynamic 'person' close (1.17m),person(dynamic_obstacles | d:1.17m | r:2.37)
1775716539.8652043,39,STOP,Critical: Dynamic 'person' close (1.17m),person(dynamic_obstacles | d:1.17m | r:2.36)
1775716540.3203175,40,STOP,Critical: Dynamic 'person' close (1.15m),person(dynamic_obstacles | d:1.15m | r:2.41)
1775716540.8225791,41,STOP,Critical: Dynamic 'person' close (1.14m),person(dynamic_obstacles | d:1.14m | r:2.42)
1775716541.2687304,42,STOP,Critical: Dynamic 'person' close (1.16m),person(dynamic_obstacles | d:1.16m | r:2.38)
1775716541.731864,43,STOP,Critical: Dynamic 'person' close (1.17m),person(dynamic_obstacles | d:1.17m | r:2.36)
1775716542.1818085,44,STOP,Critical: Dynamic 'person' close (1.16m),person(dynamic_obstacles | d:1.16m | r:2.38)
1775716542.7138023,45,STOP,Critical: Dynamic 'person' close (1.13m),person(dynamic_obstacles | d:1.13m | r:2.44)
1775716543.244219,46,STOP,Critical: Dynamic 'person' close (1.14m),person(dynamic_obstacles | d:1.14m | r:2.42)
1775716543.7199905,47,STOP,Critical: Dynamic 'person' close (1.16m),person(dynamic_obstacles | d:1.16m | r:2.37)
1775716544.1888962,48,STOP,Critical: Dynamic 'person' close (1.19m),person(dynamic_obstacles | d:1.19m | r:2.32)
1775716544.731797,49,STOP,Critical: Dynamic 'person' close (1.34m),person(dynamic_obstacles | d:1.34m | r:2.08)
1775716545.2569857,50,STOP,Critical: Dynamic 'person' close (1.51m),person(dynamic_obstacles | d:1.51m | r:1.86)
1775716545.7553594,51,STOP,Critical: Dynamic 'person' close (1.29m),person(dynamic_obstacles | d:1.29m | r:2.16)
1775716546.2292244,52,STOP,Critical: Dynamic 'person' close (1.22m),person(dynamic_obstacles | d:1.22m | r:2.27)
1775716546.709756,53,STOP,Critical: Dynamic 'person' close (1.19m),person(dynamic_obstacles | d:1.19m | r:2.33); tv(unknown | d:3.61m | r:0.13)
1775716547.1915586,54,STOP,Critical: Dynamic 'person' close (1.15m),person(dynamic_obstacles | d:1.15m | r:2.40)
1775716547.7416298,55,STOP,Critical: Dynamic 'person' close (1.20m),person(dynamic_obstacles | d:1.20m | r:2.30)
1775716548.2090974,56,STOP,Critical: Dynamic 'person' close (1.13m),person(dynamic_obstacles | d:1.13m | r:2.44)
1775716548.7110639,57,STOP,Critical: Dynamic 'person' close (1.13m),person(dynamic_obstacles | d:1.13m | r:2.43)
1775716549.1996784,58,STOP,Critical: Dynamic 'person' close (1.16m),person(dynamic_obstacles | d:1.16m | r:2.38)
1775716549.7769163,59,STOP,Critical: Dynamic 'person' close (1.17m),person(dynamic_obstacles | d:1.17m | r:2.36)
1775716550.2731223,60,STOP,Critical: Dynamic 'person' close (1.19m),person(dynamic_obstacles | d:1.19m | r:2.32)
1775716550.7968361,61,STOP,Critical: Dynamic 'person' close (1.16m),person(dynamic_obstacles | d:1.16m | r:2.38)
1775716551.3020928,62,STOP,Critical: Dynamic 'person' close (1.34m),person(dynamic_obstacles | d:1.34m | r:2.08); tv(unknown | d:2.41m | r:0.20); tv(unknown | d:3.32m | r:0.15); refrigerator(unknown | d:5.25m | r:0.09)
1775716551.8337512,63,STOP,Critical: Dynamic 'person' close (1.29m),person(dynamic_obstacles | d:1.29m | r:2.17); tv(unknown | d:2.69m | r:0.18); tv(unknown | d:3.65m | r:0.13)
1775716552.3069355,64,STOP,Critical: Dynamic 'person' close (1.22m),person(dynamic_obstacles | d:1.22m | r:2.27); tv(unknown | d:2.24m | r:0.21); refrigerator(unknown | d:4.62m | r:0.11)
1775716552.770508,65,STOP,Critical: Dynamic 'person' close (1.17m),person(dynamic_obstacles | d:1.17m | r:2.36); tv(unknown | d:2.98m | r:0.16); refrigerator(unknown | d:5.17m | r:0.09)
1775716553.212787,66,STOP,Critical: Dynamic 'person' close (1.22m),person(dynamic_obstacles | d:1.22m | r:2.28); tv(unknown | d:2.86m | r:0.17)
1775716553.6656995,67,STOP,Critical: Dynamic 'person' close (1.77m),person(dynamic_obstacles | d:1.77m | r:1.61)
1775716554.1927924,68,STOP,Critical: Dynamic 'person' close (1.19m),person(dynamic_obstacles | d:1.19m | r:2.33)
